Segment,Country,Product,Discount Band,Units Sold,Procurement,Manufacturing Price Parsed,Sale Price Parsed,Budget Parsed,Discounts Parsed,Sales Parsed,COGS Parsed,Sales_MA_3,Date_ISO
Midmarket,Germany,Carretera,None,888,4440,3,15,13320,0,13320,8880,203006,2019-02-16
Government,United States of America,Paseo,High,2007,260910,10,350,702450,105367,597082,521820,284664,2019-02-16
Enterprise,Canada,Paseo,Low,2729,163740,10,125,341125,6822,334302,327480,314901,2019-02-16
Small Business,Mexico,VTT,Low,494,61750,250,300,148200,1482,146718,123500,359367,2019-02-17
Enterprise,France,Velo,High,663,39780,120,125,82875,12431,70443,79560,183821,2019-02-17
Government,Germany,Paseo,Medium,1372,3430,10,7,9604,480,9123,6860,75428,2019-02-18
Channel Partners,Mexico,Amarilla,Medium,1375,2062,260,12,16500,1320,15180,4125,31582,2019-02-18
Channel Partners,United States of America,Amarilla,None,2141,3211,260,12,25692,0,25692,6423,16665,2019-02-18
Government,Germany,Paseo,Medium,1095,2737,10,7,7665,613,7051,5475,15974,2019-02-18
Midmarket,Germany,Paseo,Medium,1743,8715,10,15,26145,1568,24576,17430,19106,2019-02-18
Government,United States of America,Carretera,Medium,1761,228930,3,350,616350,43144,573205,457860,201611,2019-02-18
Enterprise,Mexico,VTT,Medium,877,52620,250,125,109625,9866,99758,105240,232513,2019-02-18
Channel Partners,Canada,Carretera,High,1937,2905,3,12,23244,2556,20687,5811,231217,2019-02-19
Enterprise,France,Paseo,Medium,704,42240,10,125,88000,4400,83600,84480,68015,2019-02-20
Channel Partners,Mexico,Montana,Medium,2340,3510,5,12,28080,1965,26114,7020,43467,2019-02-20
Government,Germany,Velo,Low,2877,374010,120,350,1006950,20139,986811,748020,365508,2019-02-21
Enterprise,France,Paseo,Medium,2385,143100,10,125,298125,14906,283218,286200,432048,2019-02-21
Government,Mexico,Amarilla,High,344,44720,260,350,120400,13244,107156,89440,459062,2019-02-21
Government,Germany,Carretera,High,280,700,3,7,1960,274,1685,1400,130686,2019-02-21
Government,Mexico,Carretera,Medium,521,1302,3,7,3647,328,3318,2605,37386,2019-02-21
Channel Partners,Germany,Velo,None,2161,3241,120,12,25932,0,25932,6483,10312,2019-02-21
Small Business,Mexico,VTT,Medium,2747,343375,250,300,824100,57687,766413,686750,265221,2019-02-21
Government,Canada,Paseo,Medium,257,642,10,7,1799,143,1655,1285,264667,2019-02-21
Channel Partners,France,Amarilla,Medium,306,459,260,12,3672,330,3341,918,257136,2019-02-21
Government,United States of America,Velo,Medium,1421,7105,120,20,28420,1989,26430,14210,10475,2019-02-22
Midmarket,United States of America,Velo,High,790,3950,120,15,11850,1185,10665,7900,13479,2019-02-22
Channel Partners,Canada,Carretera,Low,1445,2167,3,12,17340,173,17166,4335,18087,2019-02-23
Channel Partners,United States of America,Amarilla,Low,1989,2983,260,12,23868,238,23629,5967,17153,2019-02-23
Government,Canada,Amarilla,Medium,708,3540,260,20,14160,1132,13027,7080,17941,2019-02-23
Government,United States of America,VTT,Medium,1265,6325,250,20,25300,1265,24035,12650,20230,2019-02-24
Government,Mexico,Amarilla,High,2629,13145,260,20,52580,5783,46796,26290,27953,2019-02-24
Government,United States of America,Carretera,High,1743,8715,3,20,34860,4880,29979,17430,33603,2019-02-24
Channel Partners,France,Carretera,High,1198,1797,3,12,14376,1581,12794,3594,29856,2019-02-24
Government,Germany,Carretera,None,1321,6605,3,20,26420,0,26420,13210,23064,2019-02-25
Midmarket,Canada,Paseo,High,2470,12350,10,15,37050,5187,31863,24700,23692,2019-02-25
Enterprise,France,Paseo,Low,787,47220,10,125,98375,983,97391,94440,51891,2019-02-26
Government,Germany,Amarilla,Low,1907,247910,260,350,667450,26698,640752,495820,256669,2019-02-26
Government,Canada,Montana,High,200,26000,5,350,70000,9800,60200,52000,266114,2019-02-26
Small Business,Mexico,Amarilla,Low,1101,137625,260,300,330300,6606,323694,275250,341549,2019-02-27
Government,Canada,Paseo,High,1249,6245,10,20,24980,3247,21732,12490,135209,2019-02-27
Government,United States of America,Paseo,Low,2013,5032,10,7,14091,281,13809,10065,119745,2019-02-27
Government,Mexico,Paseo,Low,1760,4400,10,7,12320,369,11950,8800,15830,2019-02-27
Channel Partners,Canada,Amarilla,High,2761,4141,260,12,33132,3975,29156,8283,18305,2019-02-27
Government,Mexico,Montana,High,2420,6050,5,7,16940,2032,14907,12100,18671,2019-02-28
Government,Canada,Velo,Low,2646,13230,120,20,52920,2116,50803,26460,31622,2019-02-28
Channel Partners,Canada,Velo,Medium,598,897,120,12,7176,574,6601,1794,24104,2019-02-28
Enterprise,Mexico,Paseo,Low,2145,128700,10,125,268125,5362,262762,257400,106722,2019-03-01
Small Business,Canada,VTT,High,1496,187000,250,300,448800,62832,385968,374000,218444,2019-03-01
Government,United States of America,Paseo,High,380,950,10,7,2660,292,2367,1900,217032,2019-03-01
Government,United States of America,Amarilla,Medium,727,94510,260,350,254450,15267,239183,189020,209173,2019-03-02
Small Business,Germany,Paseo,Low,1728,216000,10,300,518400,10368,508032,432000,249861,2019-03-02
Government,France,Paseo,Medium,1031,2577,10,7,7217,505,6711,5155,251309,2019-03-02
Government,Germany,VTT,Medium,2297,11485,250,20,45940,2297,43643,22970,186129,2019-03-02
Enterprise,Canada,Velo,High,1916,114960,120,125,239500,23950,215550,229920,88635,2019-03-02
Government,Germany,Paseo,Medium,1934,9670,10,20,38680,3094,35585,19340,98259,2019-03-03
Enterprise,France,Paseo,High,2441,146460,10,125,305125,33563,271561,292920,174232,2019-03-03
Enterprise,Mexico,Velo,High,1575,94500,120,125,196875,27562,169312,189000,158819,2019-03-03
Government,France,Montana,Low,544,1360,5,7,3808,114,3693,2720,148189,2019-03-03
Channel Partners,France,Amarilla,High,1393,2089,260,12,16716,2340,14375,4179,62460,2019-03-03
Government,Mexico,Paseo,High,2535,6337,10,7,17745,2661,15083,12675,11050,2019-03-03
Government,United States of America,Paseo,High,1177,153010,10,350,411950,57673,354277,306020,127912,2019-03-04
Government,Mexico,Paseo,Medium,2689,6722,10,7,18823,941,17881,13445,129080,2019-03-05
Government,United States of America,Paseo,Medium,678,1695,10,7,4746,379,4366,3390,125508,2019-03-05
Government,Mexico,Carretera,Medium,521,1302,3,7,3647,328,3318,2605,8522,2019-03-06
Enterprise,United States of America,Carretera,High,3445,206730,3,125,430687,43068,387618,413460,131767,2019-03-06
Government,France,Velo,Medium,1976,9880,120,20,39520,2766,36753,19760,142563,2019-03-06
Midmarket,France,Velo,High,3997,19987,120,15,59962,7795,52167,39975,158846,2019-03-06
Government,Canada,Amarilla,Medium,1269,164970,260,350,444150,39973,404176,329940,164365,2019-03-07
Channel Partners,Mexico,Paseo,High,571,856,10,12,6852,890,5961,1713,154101,2019-03-07
Government,Mexico,Amarilla,Medium,1038,5190,260,20,20760,1868,18891,10380,143009,2019-03-07
Enterprise,Canada,Carretera,Low,742,44550,3,125,92812,1856,90956,89100,38603,2019-03-07
Enterprise,Mexico,Amarilla,Low,1074,64440,260,125,134250,5370,128880,128880,79576,2019-03-07
Government,United States of America,Velo,Low,736,3680,120,20,14720,588,14131,7360,77989,2019-03-07
Government,Germany,Carretera,High,280,700,3,7,1960,274,1685,1400,48232,2019-03-07
Government,United States of America,Carretera,Medium,1117,5587,3,20,22350,1341,21009,11175,12275,2019-03-07
Midmarket,United States of America,Paseo,Medium,3675,18375,10,15,55125,4961,50163,36750,24286,2019-03-07
Enterprise,United States of America,VTT,High,2387,143220,250,125,298375,35805,262570,286440,111247,2019-03-07
Enterprise,Germany,Amarilla,None,4219,253170,260,125,527437,0,527437,506340,280057,2019-03-08
Government,Canada,Montana,High,200,26000,5,350,70000,9800,60200,52000,283402,2019-03-08
Channel Partners,Mexico,Carretera,Medium,727,1090,3,12,8724,610,8113,2181,198583,2019-03-08
Channel Partners,Canada,Velo,Medium,598,897,120,12,7176,574,6601,1794,24971,2019-03-08
Channel Partners,Canada,Amarilla,High,3520,5280,260,12,42246,4224,38021,10561,17578,2019-03-09
Government,Mexico,Amarilla,Medium,1683,4207,260,7,11781,589,11191,8415,18604,2019-03-09
Channel Partners,Canada,Montana,Medium,2321,3481,5,12,27852,2506,25345,6963,24852,2019-03-09
Small Business,Germany,Paseo,High,1359,169875,10,300,407700,48924,358776,339750,131771,2019-03-09
Government,France,VTT,None,1527,198510,250,350,534450,0,534450,397020,306190,2019-03-11
Small Business,Canada,Paseo,Medium,1702,212750,10,300,510600,35742,474858,425500,456028,2019-03-11
Government,Mexico,Carretera,Medium,1362,177060,3,350,476700,38136,438564,354120,482624,2019-03-11
Channel Partners,Mexico,Velo,High,500,750,120,12,6000,900,5100,1500,306174,2019-03-11
Government,Germany,Montana,High,2992,14960,5,20,59840,6582,53257,29920,165640,2019-03-12
Government,Mexico,Montana,High,1715,8575,5,20,34300,4116,30184,17150,29514,2019-03-12
Government,Mexico,Amarilla,Medium,1038,5190,260,20,20760,1868,18891,10380,34111,2019-03-12
Government,Mexico,Paseo,High,1122,5610,10,20,22440,2468,19971,11220,23015,2019-03-12
Midmarket,Mexico,Paseo,None,974,4870,10,15,14610,0,14610,9740,17824,2019-03-12
Government,Canada,Amarilla,Medium,552,71760,260,350,193200,9660,183540,143520,72707,2019-03-12
Government,Mexico,Montana,High,1368,3420,5,7,9576,1436,8139,6840,68763,2019-03-12
Small Business,Germany,Paseo,Low,1728,216000,10,300,518400,10368,508032,432000,233237,2019-03-12
Midmarket,Germany,Montana,Medium,711,3555,5,15,10665,853,9811,7110,175327,2019-03-12
Channel Partners,Mexico,Amarilla,Medium,1123,1684,260,12,13476,673,12802,3369,176882,2019-03-13
Government,United States of America,Carretera,Low,2529,6322,3,7,17703,177,17525,12645,13379,2019-03-13
Channel Partners,United States of America,VTT,Medium,1956,2934,250,12,23472,2112,21359,5868,17229,2019-03-14
Channel Partners,Mexico,Paseo,High,571,856,10,12,6852,890,5961,1713,14948,2019-03-14
Channel Partners,France,Velo,Low,1055,1582,120,12,12660,253,12406,3165,13242,2019-03-15
Small Business,United States of America,Montana,Low,2301,287625,5,300,690300,6903,683397,575250,233921,2019-03-15
Small Business,Mexico,Amarilla,Low,1101,137625,260,300,330300,6606,323694,275250,339832,2019-03-15
Enterprise,United States of America,Amarilla,High,2844,170640,260,125,355500,49770,305730,341280,437607,2019-03-15
Enterprise,Mexico,VTT,High,554,33240,250,125,69250,7617,61632,66480,230352,2019-03-15
Government,United States of America,Paseo,High,2007,260910,10,350,702450,105367,597082,521820,321481,2019-03-16
Government,United States of America,Paseo,Medium,678,1695,10,7,4746,379,4366,3390,221027,2019-03-16
Enterprise,France,Carretera,High,2441,146460,3,125,305125,33563,271561,292920,291003,2019-03-16
Channel Partners,Germany,Velo,None,1545,2317,120,12,18540,0,18540,4635,98156,2019-03-16
Government,Canada,Amarilla,Medium,708,3540,260,20,14160,1132,13027,7080,101043,2019-03-16
Government,Mexico,Paseo,High,1122,5610,10,20,22440,2468,19971,11220,17179,2019-03-16
Enterprise,France,Carretera,High,1174,70440,3,125,146750,22012,124737,140880,52578,2019-03-16
Midmarket,Canada,Paseo,High,1565,7825,10,15,23475,3051,20423,15650,55044,2019-03-16
Channel Partners,France,Paseo,Low,1901,2851,10,12,22812,684,22127,5703,55762,2019-03-17
Small Business,United States of America,VTT,High,2294,286750,250,300,688200,68820,619380,573500,220643,2019-03-17
Government,France,VTT,High,293,1465,250,20,5860,879,4981,2930,215496,2019-03-17
Government,United States of America,VTT,Medium,1351,175695,250,350,473025,42572,430452,351390,351604,2019-03-18
Channel Partners,Canada,Carretera,Low,908,1362,3,12,10896,326,10569,2724,148667,2019-03-19
Government,Canada,Amarilla,Medium,552,71760,260,350,193200,9660,183540,143520,208187,2019-03-19
Government,United States of America,Montana,High,982,127725,5,350,343875,44703,299171,255450,164427,2019-03-19
Enterprise,France,Carretera,Low,4243,254610,3,125,530437,15913,514524,509220,332412,2019-03-19
Government,Mexico,Paseo,Low,1760,4400,10,7,12320,369,11950,8800,275215,2019-03-20
Government,United States of America,Carretera,Medium,263,657,3,7,1841,110,1730,1315,176068,2019-03-20
Government,Mexico,Carretera,High,2579,12895,3,20,51580,7221,44358,25790,19346,2019-03-20
Small Business,France,VTT,Medium,959,119875,250,300,287700,20139,267561,239750,104550,2019-03-21
Government,Germany,Paseo,None,1513,196690,10,350,529550,0,529550,393380,280490,2019-03-21
Channel Partners,Germany,VTT,Medium,880,1320,250,12,10560,950,9609,2640,268907,2019-03-21
Enterprise,United States of America,Velo,Low,663,39780,120,125,82875,828,82046,79560,207068,2019-03-21
Enterprise,France,Carretera,Low,4243,254610,3,125,530437,15913,514524,509220,202060,2019-03-21
Midmarket,United States of America,Paseo,Low,1925,9625,10,15,28875,577,28297,19250,208289,2019-03-21
Small Business,Germany,Amarilla,Low,259,32375,260,300,77700,1554,76146,64750,206322,2019-03-22
Midmarket,Mexico,Montana,High,2157,10785,5,15,32355,3559,28795,21570,44413,2019-03-23
Midmarket,Canada,Paseo,High,1565,7825,10,15,23475,3051,20423,15650,41788,2019-03-23
Midmarket,Canada,Montana,High,2300,11500,5,15,34500,4830,29670,23000,26296,2019-03-23
Government,Mexico,Paseo,High,2151,279630,10,350,752850,112927,639922,559260,230005,2019-03-23
Channel Partners,Mexico,Velo,Low,1084,1626,120,12,13008,260,12747,3252,227446,2019-03-23
Government,France,Amarilla,Medium,2076,269880,260,350,726600,43596,683004,539760,445224,2019-03-23
Small Business,France,Velo,Medium,1659,207375,120,300,497700,34839,462861,414750,386204,2019-03-23
Small Business,France,VTT,None,2151,268875,250,300,645300,0,645300,537750,597055,2019-03-24
Government,France,Amarilla,Medium,2076,269880,260,350,726600,43596,683004,539760,597055,2019-03-24
Small Business,France,Paseo,Medium,1324,165500,10,300,397200,35748,361452,331000,563252,2019-03-24
Enterprise,Canada,VTT,High,2954,177240,250,125,369250,55387,313862,354480,452773,2019-03-24
Small Business,Canada,Amarilla,Low,1916,239500,260,300,574800,11496,563304,479000,412873,2019-03-25
Channel Partners,United States of America,Paseo,High,2914,4371,10,12,34968,4895,30072,8742,302413,2019-03-25
Channel Partners,Mexico,Paseo,Medium,367,550,10,12,4404,396,4007,1101,199128,2019-03-25
Government,Mexico,Paseo,High,2535,6337,10,7,17745,2661,15083,12675,16387,2019-03-25
Enterprise,United States of America,Paseo,Medium,2797,167820,10,125,349625,31466,318158,335640,112416,2019-03-25
Small Business,Canada,Montana,Medium,1283,160375,5,300,384900,30792,354108,320750,229116,2019-03-26
Government,Canada,Carretera,Low,2851,7127,3,7,19957,798,19158,14255,230475,2019-03-26
Enterprise,Germany,Paseo,Medium,3513,210780,10,125,439125,30738,408386,421560,260551,2019-03-26
Enterprise,Germany,Amarilla,Medium,994,59640,260,125,124250,8697,115552,119280,181032,2019-03-27
Channel Partners,United States of America,Paseo,None,912,1368,10,12,10944,0,10944,2736,178294,2019-03-27
Small Business,France,Paseo,Low,918,114750,10,300,275400,5508,269892,229500,132129,2019-03-27
Government,Germany,Paseo,High,2992,14960,10,20,59840,6582,53257,29920,111364,2019-03-28
Small Business,France,VTT,Medium,959,119875,250,300,287700,20139,267561,239750,196903,2019-03-28
Enterprise,Canada,Montana,None,345,20700,5,125,43125,0,43125,41400,121314,2019-03-28
Channel Partners,Canada,VTT,High,2109,3163,250,12,25308,3036,22271,6327,110986,2019-03-28
Midmarket,Canada,Montana,Low,1967,9835,5,15,29505,1180,28324,19670,31240,2019-03-29
Small Business,Canada,Montana,Medium,1283,160375,5,300,384900,30792,354108,320750,134901,2019-03-29
Government,Mexico,Montana,Medium,980,127400,5,350,343000,20580,322420,254800,234951,2019-03-29
Government,Canada,Montana,High,388,970,5,7,2716,380,2335,1940,226288,2019-03-29
Government,Germany,Velo,Medium,2338,5845,120,7,16366,1309,15056,11690,113270,2019-03-29
Government,Germany,Carretera,Medium,663,3315,3,20,13260,1193,12066,6630,9819,2019-03-30
Enterprise,Canada,Carretera,High,2416,144960,3,125,302000,36240,265760,289920,97627,2019-03-30
Small Business,Canada,VTT,Medium,2436,304500,250,300,730800,43848,686952,609000,321593,2019-03-30
Channel Partners,Mexico,Amarilla,Medium,1123,1684,260,12,13476,673,12802,3369,321838,2019-03-31
Government,France,Velo,High,1190,2975,120,7,8330,1082,7247,5950,235667,2019-03-31
Midmarket,France,VTT,Medium,1227,6135,250,15,18405,1656,16748,12270,12266,2019-03-31
Enterprise,Mexico,Paseo,Medium,1114,66840,10,125,139250,11140,128110,133680,50702,2019-03-31
Midmarket,United States of America,Carretera,Medium,2030,10150,3,15,30450,1827,28623,20300,57827,2019-03-31
Government,Germany,Amarilla,Low,2966,385580,260,350,1038100,20762,1017338,771160,391357,2019-04-01
Government,Mexico,Paseo,Medium,2417,314210,10,350,845950,76135,769814,628420,605258,2019-04-01
Midmarket,Canada,Carretera,High,1560,7800,3,15,23400,2574,20826,15600,602659,2019-04-01
Government,France,Carretera,High,1790,232700,3,350,626500,81445,545055,465400,445232,2019-04-01
Channel Partners,France,Carretera,High,1198,1797,3,12,14376,1581,12794,3594,192892,2019-04-02
Enterprise,France,Amarilla,Medium,1987,119250,260,125,248437,14906,233531,238500,263793,2019-04-02
Midmarket,Mexico,Amarilla,High,2157,10785,260,15,32355,3559,28795,21570,91707,2019-04-02
Enterprise,Germany,Paseo,Low,795,47700,10,125,99375,3975,95400,95400,119242,2019-04-02
Channel Partners,Mexico,VTT,High,1005,1507,250,12,12060,1326,10733,3015,44976,2019-04-02
Small Business,Mexico,Paseo,High,2150,268750,10,300,645000,77400,567600,537500,224578,2019-04-03
Enterprise,Germany,Velo,Low,809,48540,120,125,101125,2022,99102,97080,225812,2019-04-03
Government,Canada,Amarilla,Medium,552,71760,260,350,193200,9660,183540,143520,283414,2019-04-03
Midmarket,France,VTT,Medium,1227,6135,250,15,18405,1656,16748,12270,99797,2019-04-03
Government,Germany,Paseo,Medium,1598,3995,10,7,11186,894,10291,7990,70193,2019-04-04
Channel Partners,Germany,Paseo,Medium,1775,2662,10,12,21300,1917,19383,5325,15474,2019-04-04
Government,France,Amarilla,High,1190,2975,260,7,8330,1082,7247,5950,12307,2019-04-04
Government,Germany,Velo,None,1006,130780,120,350,352100,0,352100,261560,126243,2019-04-05
Government,Mexico,Velo,Medium,609,3045,120,20,12180,852,11327,6090,123558,2019-04-05
Midmarket,United States of America,Montana,High,677,3385,5,15,10155,1218,8936,6770,124121,2019-04-05
Small Business,Mexico,Amarilla,Low,1101,137625,260,300,330300,6606,323694,275250,114652,2019-04-06
Government,Germany,Paseo,High,1158,5790,10,20,23160,3474,19686,11580,117439,2019-04-07
Small Business,Germany,Carretera,High,2811,351375,3,300,843300,92763,750537,702750,364639,2019-04-07
Government,France,VTT,Low,2177,283010,250,350,761950,30478,731472,566020,500565,2019-04-07
Government,Mexico,Montana,High,1368,3420,5,7,9576,1436,8139,6840,496716,2019-04-07
Midmarket,Mexico,Amarilla,High,2157,10785,260,15,32355,3559,28795,21570,256135,2019-04-07
Enterprise,Mexico,VTT,Medium,877,52620,250,125,109625,9866,99758,105240,45564,2019-04-08
Government,Mexico,Carretera,High,886,115180,3,350,310100,37212,272888,230360,133814,2019-04-08
Government,United States of America,VTT,Medium,570,1425,250,7,3990,199,3790,2850,125479,2019-04-08
Enterprise,Germany,Carretera,High,1085,65100,3,125,135625,20343,115281,130200,130653,2019-04-08
Small Business,Germany,Montana,Low,2021,252625,5,300,606300,24252,582048,505250,233706,2019-04-08
Small Business,France,Montana,Medium,2181,272625,5,300,654300,45801,608499,545250,435276,2019-04-08
Government,France,Amarilla,Medium,2876,373880,260,350,1006600,70462,936138,747760,708895,2019-04-09
Enterprise,United States of America,Paseo,Medium,2797,167820,10,125,349625,31466,318158,335640,620932,2019-04-09
Government,United States of America,Velo,Medium,2907,7267,120,7,20349,1627,18721,14535,424339,2019-04-09
Government,United States of America,Montana,High,1298,3245,5,7,9086,1181,7904,6490,114928,2019-04-09
Government,United States of America,Carretera,High,2996,7490,3,7,20972,2936,18035,14980,14887,2019-04-09
Small Business,United States of America,Montana,Low,2498,312250,5,300,749400,7494,741906,624500,255948,2019-04-10
Small Business,United States of America,VTT,Medium,1867,233375,250,300,560100,50409,509691,466750,423211,2019-04-10
Midmarket,Germany,Montana,Medium,711,3555,5,15,10665,853,9811,7110,420469,2019-04-10
Channel Partners,France,Montana,Low,1901,2851,5,12,22812,684,22127,5703,180543,2019-04-10
Small Business,Germany,Paseo,Low,689,86125,10,300,206700,6201,200499,172250,77479,2019-04-10
Enterprise,France,Carretera,High,2441,146460,3,125,305125,33563,271561,292920,164729,2019-04-10
Government,Mexico,Carretera,High,886,115180,3,350,310100,37212,272888,230360,248316,2019-04-10
Government,France,Carretera,Low,2145,5362,3,7,15015,300,14714,10725,186388,2019-04-11
Government,Canada,Amarilla,Medium,1118,5590,260,20,22360,1565,20794,11180,102799,2019-04-11
Midmarket,France,VTT,High,3874,19372,250,15,58117,6974,51143,38745,28884,2019-04-11
Midmarket,Mexico,Paseo,Low,1514,7570,10,15,22710,908,21801,15140,31246,2019-04-12
Government,Mexico,VTT,Medium,2689,6722,250,7,18823,941,17881,13445,30275,2019-04-12
Government,Canada,VTT,Medium,1389,6945,250,20,27780,1389,26391,13890,22024,2019-04-12
Channel Partners,France,VTT,Medium,1738,2607,250,12,20862,1460,19401,5215,21224,2019-04-12
Small Business,Germany,VTT,Low,986,123250,250,300,295800,2958,292842,246500,112878,2019-04-12
Government,United States of America,Paseo,High,2641,13205,10,20,52820,6866,45953,26410,119399,2019-04-12
Midmarket,Mexico,Velo,High,655,3275,120,15,9825,1080,8744,6550,115846,2019-04-12
Government,Mexico,Amarilla,Medium,1683,4207,260,7,11781,589,11191,8415,21963,2019-04-13
Government,Mexico,Paseo,High,2851,370630,10,350,997850,149677,848172,741260,289369,2019-04-13
Midmarket,Mexico,Paseo,Low,1514,7570,10,15,22710,908,21801,15140,293721,2019-04-13
Midmarket,Mexico,Velo,Medium,2861,14305,120,15,42915,2145,40769,28610,303581,2019-04-13
Government,France,Amarilla,Medium,2876,373880,260,350,1006600,70462,936138,747760,332903,2019-04-13
Government,Germany,Paseo,High,2992,14960,10,20,59840,6582,53257,29920,343388,2019-04-14
Government,Mexico,Amarilla,Low,1865,242450,260,350,652750,26110,626640,484900,538678,2019-04-14
Government,Canada,Montana,High,388,970,5,7,2716,380,2335,1940,227411,2019-04-14
Government,Canada,Carretera,Low,2852,370760,3,350,998200,19964,978236,741520,535737,2019-04-14
Midmarket,France,Paseo,Medium,2620,13100,10,15,39300,1965,37335,26200,339302,2019-04-14
Government,Germany,Paseo,Medium,2409,6022,10,7,16863,1349,15513,12045,343695,2019-04-14
Midmarket,France,Paseo,Medium,2620,13100,10,15,39300,1965,37335,26200,30061,2019-04-15
Small Business,United States of America,Montana,Low,2498,312250,5,300,749400,7494,741906,624500,264918,2019-04-15
Channel Partners,Mexico,Paseo,Low,1084,1626,10,12,13008,260,12747,3252,263996,2019-04-15
Government,Canada,Paseo,High,1249,6245,10,20,24980,3247,21732,12490,258795,2019-04-15
Midmarket,Germany,Paseo,Low,747,3735,10,15,11205,112,11092,7470,15190,2019-04-15
Government,Mexico,Amarilla,Medium,1694,8470,260,20,33880,3049,30830,16940,21218,2019-04-16
Enterprise,Canada,Paseo,Low,2009,120540,10,125,251125,7533,243591,241080,95171,2019-04-16
Midmarket,Germany,Carretera,High,1513,7565,3,15,22695,3177,19517,15130,97979,2019-04-16
Enterprise,Germany,Montana,Low,1706,102360,5,125,213250,6397,206852,204720,156653,2019-04-17
Enterprise,France,Velo,Medium,704,42240,120,125,88000,4400,83600,84480,103323,2019-04-17
Government,United States of America,Velo,High,606,3030,120,20,12120,1696,10423,6060,100292,2019-04-17
Small Business,Canada,Carretera,Medium,1094,136750,3,300,328200,29538,298662,273500,130895,2019-04-17
Enterprise,Canada,Paseo,High,1583,94980,10,125,197875,25723,172151,189960,160412,2019-04-17
Government,Canada,Velo,High,1808,4520,120,7,12656,1392,11263,9040,160692,2019-04-18
Channel Partners,Canada,Paseo,Medium,2299,3448,10,12,27588,1655,25932,6897,69782,2019-04-18
Midmarket,Canada,Paseo,Low,2363,11815,10,15,35445,708,34736,23630,23977,2019-04-18
Enterprise,Canada,Paseo,Low,2009,120540,10,125,251125,7533,243591,241080,101420,2019-04-18
Midmarket,Germany,Paseo,Medium,1743,8715,10,15,26145,1568,24576,17430,100968,2019-04-19
Government,Germany,Velo,Medium,2338,5845,120,7,16366,1309,15056,11690,94408,2019-04-19
Government,United States of America,Velo,Medium,2832,14160,120,20,56640,2832,53808,28320,31147,2019-04-20
Enterprise,United States of America,Paseo,Low,727,43620,10,125,90875,908,89966,87240,52943,2019-04-20
Government,United States of America,VTT,Medium,1351,175695,250,350,473025,42572,430452,351390,191409,2019-04-20
Channel Partners,France,Amarilla,High,2475,3712,260,12,29700,4158,25542,7425,181987,2019-04-20
Channel Partners,Mexico,Velo,High,604,906,120,12,7248,942,6305,1812,154100,2019-04-20
Government,Germany,Carretera,Medium,663,3315,3,20,13260,1193,12066,6630,14638,2019-04-21
Government,Mexico,Paseo,High,2151,279630,10,350,752850,112927,639922,559260,219431,2019-04-21
Small Business,Mexico,Velo,Medium,635,79375,120,300,190500,15240,175260,158750,275749,2019-04-21
Government,Mexico,Paseo,High,1197,155610,10,350,418950,50274,368676,311220,394619,2019-04-21
Enterprise,Mexico,Amarilla,High,947,56820,260,125,118375,13021,105353,113640,216430,2019-04-21
Midmarket,United States of America,VTT,Medium,1153,5765,250,15,17295,1037,16257,11530,163429,2019-04-22
Small Business,Mexico,VTT,High,432,54000,250,300,129600,12960,116640,108000,79417,2019-04-22
Enterprise,France,Paseo,Medium,704,42240,10,125,88000,4400,83600,84480,72166,2019-04-23
Government,Mexico,Montana,High,1368,3420,5,7,9576,1436,8139,6840,69460,2019-04-23
Enterprise,Canada,Velo,High,1916,114960,120,125,239500,23950,215550,229920,102430,2019-04-23
Government,Canada,Montana,High,1249,6245,5,20,24980,3247,21732,12490,81807,2019-04-23
Government,Germany,Carretera,None,1513,196690,3,350,529550,0,529550,393380,255611,2019-04-23
Channel Partners,Germany,Carretera,Medium,1580,2370,3,12,18960,1706,17253,4740,189512,2019-04-23
Government,France,Montana,None,1899,9495,5,20,37980,0,37980,18990,194928,2019-04-25
Enterprise,Mexico,Montana,Low,1138,68280,5,125,142250,5690,136560,136560,63931,2019-04-25
Small Business,Canada,Montana,Medium,1283,160375,5,300,384900,30792,354108,320750,176216,2019-04-25
Midmarket,Mexico,Amarilla,High,1870,9350,260,15,28050,3927,24123,18700,171597,2019-04-25
Government,United States of America,Paseo,Medium,2663,13315,10,20,53260,2663,50597,26630,142943,2019-04-25
Enterprise,Canada,Carretera,Low,742,44550,3,125,92812,1856,90956,89100,55225,2019-04-25
Enterprise,Germany,Velo,Medium,2087,125220,120,125,260875,18261,242613,250440,128055,2019-04-26
Enterprise,Mexico,Paseo,Medium,1114,66840,10,125,139250,11140,128110,133680,153893,2019-04-26
Government,Germany,Amarilla,Medium,1520,7600,260,20,30400,2432,27968,15200,132897,2019-04-26
Enterprise,Canada,VTT,High,1583,94980,250,125,197875,25723,172151,189960,109410,2019-04-27
Government,Canada,VTT,Low,943,122655,250,350,330225,3302,326922,245310,175680,2019-04-27
Small Business,Mexico,Velo,Medium,635,79375,120,300,190500,15240,175260,158750,224778,2019-04-27
Midmarket,Mexico,Velo,Medium,2628,13140,120,15,39420,3547,35872,26280,179351,2019-04-28
Small Business,Canada,Carretera,High,1496,187000,3,300,448800,62832,385968,374000,199033,2019-04-28
Government,Canada,Paseo,High,700,91000,10,350,245000,34300,210700,182000,210847,2019-04-28
Enterprise,Germany,Carretera,High,2767,166020,3,125,345875,51881,293993,332040,296887,2019-04-28
