Segment,Country,Product,Discount Band,Units Sold,Manufacturing Price Parsed,Sale Price Parsed,Budget Parsed,Discounts Parsed,Sales Parsed,COGS Parsed,Profit Parsed,Date_ISO
Government,United States of America,Carretera,Medium,570,1425,3,7,3990,199.5,3790.5,2850,2020-12-30
Government,France,Carretera,Medium,2487,6217.5,3,7,17409,870.45,16538.55,12435,2019-12-01
Government,France,Montana,Medium,1384,179985,5,350,484575,24228.75,460346.25,359970,2020-10-12
Enterprise,United States of America,Montana,Medium,3627,217620,5,125,453375,22668.75,430706.25,435240,2020-04-28
Government,Mexico,Montana,Medium,720,93600,5,350,252000,12600,239400,187200,2020-10-17
Channel Partners,Germany,Montana,Medium,2342,3513,5,12,28104,1405.2,26698.8,7026,2018-12-02
Small Business,Mexico,Montana,Medium,1100,137500,5,300,330000,16500,313500,275000,2019-10-31
Government,France,Paseo,Medium,1303,6515,10,20,26060,1303,24757,13030,2020-10-08
Enterprise,United States of America,Paseo,Medium,2992,179520,10,125,374000,18700,355300,359040,2020-12-08
Enterprise,France,Paseo,Medium,2385,143100,10,125,298125,14906.25,283218.75,286200,2020-06-28
Small Business,Mexico,Paseo,Medium,1607,200875,10,300,482100,24105,457995,401750,2019-10-17
Government,United States of America,Paseo,Medium,2327,5817.5,10,7,16289,814.45,15474.55,11635,2019-10-09
Small Business,United States of America,Paseo,Medium,991,123875,10,300,297300,14865,282435,247750,2020-03-16
Government,United States of America,Paseo,Medium,602,78260,10,350,210700,10535,200165,156520,2020-06-13
Midmarket,France,Paseo,Medium,2620,13100,10,15,39300,1965,37335,26200,2020-06-11
Government,Canada,Paseo,Medium,1228,159640,10,350,429800,21490,408310,319280,2021-07-30
Government,Canada,Paseo,Medium,1389,6945,10,20,27780,1389,26391,13890,2021-02-11
Enterprise,United States of America,Paseo,Medium,861,51660,10,125,107625,5381.25,102243.75,103320,2019-10-31
Enterprise,France,Paseo,Medium,704,42240,10,125,88000,4400,83600,84480,2019-06-02
Government,Canada,Paseo,Medium,1802,9010,10,20,36040,1802,34238,18020,2019-11-04
Government,United States of America,Paseo,Medium,2663,13315,10,20,53260,2663,50597,26630,2020-04-15
Government,France,Paseo,Medium,2136,5340,10,7,14952,747.6,14204.4,10680,2020-09-20
Midmarket,Germany,Paseo,Medium,2116,10580,10,15,31740,1587,30153,21160,2020-05-07
Midmarket,United States of America,Velo,Medium,555,2775,120,15,8325,416.25,7908.75,5550,2021-04-22
Midmarket,Mexico,Velo,Medium,2861,14305,120,15,42915,2145.75,40769.25,28610,2020-08-08
Enterprise,Germany,Velo,Medium,807,48420,120,125,100875,5043.75,95831.25,96840,2019-01-15
Government,United States of America,Velo,Medium,602,78260,120,350,210700,10535,200165,156520,2020-06-09
Government,United States of America,Velo,Medium,2832,14160,120,20,56640,2832,53808,28320,2021-06-05
Government,France,Velo,Medium,1579,7895,120,20,31580,1579,30001,15790,2021-02-10
Enterprise,United States of America,Velo,Medium,861,51660,120,125,107625,5381.25,102243.75,103320,2019-12-02
Enterprise,France,Velo,Medium,704,42240,120,125,88000,4400,83600,84480,2020-08-14
Government,France,Velo,Medium,1033,5165,120,20,20660,1033,19627,10330,2021-06-09
Small Business,Germany,Velo,Medium,1250,156250,120,300,375000,18750,356250,312500,2019-07-17
Government,Canada,VTT,Medium,1389,6945,250,20,27780,1389,26391,13890,2020-04-22
Government,United States of America,VTT,Medium,1265,6325,250,20,25300,1265,24035,12650,2019-01-07
Government,Germany,VTT,Medium,2297,11485,250,20,45940,2297,43643,22970,2020-10-18
Government,United States of America,VTT,Medium,2663,13315,250,20,53260,2663,50597,26630,2021-06-06
Government,United States of America,VTT,Medium,570,1425,250,7,3990,199.5,3790.5,2850,2020-04-22
Government,France,VTT,Medium,2487,6217.5,250,7,17409,870.45,16538.55,12435,2020-02-16
Government,Germany,Amarilla,Medium,1350,175500,260,350,472500,23625,448875,351000,2020-05-04
Government,Canada,Amarilla,Medium,552,71760,260,350,193200,9660,183540,143520,2019-08-20
Government,Canada,Amarilla,Medium,1228,159640,260,350,429800,21490,408310,319280,2021-04-23
Small Business,Germany,Amarilla,Medium,1250,156250,260,300,375000,18750,356250,312500,2020-04-10
Midmarket,France,Paseo,Medium,3801,19005,10,15,57015,3420.9,53594.1,38010,2021-04-07
Government,United States of America,Carretera,Medium,1117,5587.5,3,20,22350,1341,21009,11175,2019-03-07
Midmarket,Canada,Carretera,Medium,2844,14220,3,15,42660,2559.6,40100.4,28440,2020-04-07
Channel Partners,Mexico,Carretera,Medium,562,843,3,12,6744,404.64,6339.36,1686,2020-11-20
Channel Partners,Canada,Carretera,Medium,2299,3448.5,3,12,27588,1655.28,25932.72,6897,2019-01-27
Midmarket,United States of America,Carretera,Medium,2030,10150,3,15,30450,1827,28623,20300,2019-03-31
Government,United States of America,Carretera,Medium,263,657.5,3,7,1841,110.46,1730.54,1315,2019-12-24
Enterprise,Germany,Carretera,Medium,887,53220,3,125,110875,6652.5,104222.5,106440,2020-06-02
Government,Mexico,Montana,Medium,980,127400,5,350,343000,20580,322420,254800,2020-02-27
Government,Germany,Montana,Medium,1460,189800,5,350,511000,30660,480340,379600,2020-11-11
Government,France,Montana,Medium,1403,3507.5,5,7,9821,589.26,9231.74,7015,2019-07-07
Channel Partners,United States of America,Montana,Medium,2723,4084.5,5,12,32676,1960.56,30715.44,8169,2021-01-05
Government,France,Paseo,Medium,1496,194480,10,350,523600,31416,492184,388960,2019-06-26
Channel Partners,Canada,Paseo,Medium,2299,3448.5,10,12,27588,1655.28,25932.72,6897,2020-11-07
Government,United States of America,Paseo,Medium,727,94510,10,350,254450,15267,239183,189020,2021-03-14
Enterprise,Canada,Velo,Medium,952,57120,120,125,119000,7140,111860,114240,2020-06-18
Enterprise,United States of America,Velo,Medium,2755,165300,120,125,344375,20662.5,323712.5,330600,2021-01-13
Midmarket,Germany,Velo,Medium,1530,7650,120,15,22950,1377,21573,15300,2019-12-13
Government,France,Velo,Medium,1496,194480,120,350,523600,31416,492184,388960,2020-03-02
Government,Mexico,Velo,Medium,1498,3745,120,7,10486,629.16,9856.84,7490,2020-10-02
Small Business,France,Velo,Medium,1221,152625,120,300,366300,21978,344322,305250,2019-05-31
Government,France,Velo,Medium,2076,269880,120,350,726600,43596,683004,539760,2019-08-28
Midmarket,Canada,VTT,Medium,2844,14220,250,15,42660,2559.6,40100.4,28440,2019-05-12
Government,Mexico,VTT,Medium,1498,3745,250,7,10486,629.16,9856.84,7490,2019-07-28
Small Business,France,VTT,Medium,1221,152625,250,300,366300,21978,344322,305250,2020-08-23
Government,Mexico,VTT,Medium,1123,5615,250,20,22460,1347.6,21112.4,11230,2021-02-20
Small Business,Canada,VTT,Medium,2436,304500,250,300,730800,43848,686952,609000,2019-03-30
Enterprise,France,Amarilla,Medium,1987,119250,260,125,248437.5,14906.25,233531.25,238500,2021-08-02
Government,Mexico,Amarilla,Medium,1679,218270,260,350,587650,35259,552391,436540,2019-10-20
Government,United States of America,Amarilla,Medium,727,94510,260,350,254450,15267,239183,189020,2020-04-25
Government,France,Amarilla,Medium,1403,3507.5,260,7,9821,589.26,9231.74,7015,2019-07-13
Government,France,Amarilla,Medium,2076,269880,260,350,726600,43596,683004,539760,2020-04-30
Government,France,Montana,Medium,1757,8785,5,20,35140,2108.4,33031.6,17570,2019-06-21
Midmarket,United States of America,Paseo,Medium,2198,10990,10,15,32970,1978.2,30991.8,21980,2021-02-18
Midmarket,Germany,Paseo,Medium,1743,8715,10,15,26145,1568.7,24576.3,17430,2019-02-18
Midmarket,United States of America,Paseo,Medium,1153,5765,10,15,17295,1037.7,16257.3,11530,2020-12-01
Government,France,Paseo,Medium,1757,8785,10,20,35140,2108.4,33031.6,17570,2019-10-03
Government,Germany,Velo,Medium,1001,5005,120,20,20020,1201.2,18818.8,10010,2019-07-22
Government,Mexico,Velo,Medium,1333,3332.5,120,7,9331,559.86,8771.14,6665,2020-08-26
Midmarket,United States of America,VTT,Medium,1153,5765,250,15,17295,1037.7,16257.3,11530,2019-04-22
Channel Partners,Mexico,Carretera,Medium,727,1090.5,3,12,8724,610.68,8113.32,2181,2019-07-15
Channel Partners,Canada,Carretera,Medium,1884,2826,3,12,22608,1582.56,21025.44,5652,2019-05-24
Government,Mexico,Carretera,Medium,1834,9170,3,20,36680,2567.6,34112.4,18340,2020-12-08
Channel Partners,Mexico,Montana,Medium,2340,3510,5,12,28080,1965.6,26114.4,7020,2021-03-23
Channel Partners,France,Montana,Medium,2342,3513,5,12,28104,1967.28,26136.72,7026,2020-10-16
Government,France,Paseo,Medium,1031,2577.5,10,7,7217,505.19,6711.81,5155,2020-07-20
Midmarket,Canada,Velo,Medium,1262,6310,120,15,18930,1325.1,17604.9,12620,2020-03-16
Government,Canada,Velo,Medium,1135,2837.5,120,7,7945,556.15,7388.85,5675,2020-06-21
Government,United States of America,Velo,Medium,547,1367.5,120,7,3829,268.03,3560.97,2735,2021-03-15
Government,Canada,Velo,Medium,1582,3955,120,7,11074,775.18,10298.82,7910,2020-09-03
Channel Partners,France,VTT,Medium,1738,2607.75,250,12,20862,1460.34,19401.66,5215.5,2020-05-05
Channel Partners,Germany,VTT,Medium,2215,3322.5,250,12,26580,1860.6,24719.4,6645,2020-10-05
Government,Canada,VTT,Medium,1582,3955,250,7,11074,775.18,10298.82,7910,2021-05-03
Government,Canada,Amarilla,Medium,1135,2837.5,260,7,7945,556.15,7388.85,5675,2020-01-17
Government,United States of America,Carretera,Medium,1761,228930,3,350,616350,43144.5,573205.5,457860,2019-02-18
Small Business,France,Carretera,Medium,448,56000,3,300,134400,9408,124992,112000,2019-08-30
Small Business,France,Carretera,Medium,2181,272625,3,300,654300,45801,608499,545250,2020-07-25
Government,France,Montana,Medium,1976,9880,5,20,39520,2766.4,36753.6,19760,2019-11-12
Small Business,France,Montana,Medium,2181,272625,5,300,654300,45801,608499,545250,2019-04-08
Enterprise,Germany,Montana,Medium,2500,150000,5,125,312500,21875,290625,300000,2019-11-20
Small Business,Canada,Paseo,Medium,1702,212750,10,300,510600,35742,474858,425500,2021-03-24
Small Business,France,Paseo,Medium,448,56000,10,300,134400,9408,124992,112000,2021-08-28
Enterprise,Germany,Paseo,Medium,3513,210780,10,125,439125,30738.75,408386.25,421560,2019-03-26
Midmarket,France,Paseo,Medium,2101,10505,10,15,31515,2206.05,29308.95,21010,2021-06-27
Midmarket,United States of America,Paseo,Medium,2931,14655,10,15,43965,3077.55,40887.45,29310,2020-08-26
Government,France,Paseo,Medium,1535,7675,10,20,30700,2149,28551,15350,2019-07-27
Small Business,Germany,Paseo,Medium,1123,140375,10,300,336900,23583,313317,280750,2021-02-08
Small Business,Canada,Paseo,Medium,1404,175500,10,300,421200,29484,391716,351000,2021-01-08
Channel Partners,Mexico,Paseo,Medium,2763,4144.5,10,12,33156,2320.92,30835.08,8289,2018-11-19
Government,Germany,Paseo,Medium,2125,5312.5,10,7,14875,1041.25,13833.75,10625,2019-08-28
Small Business,France,Velo,Medium,1659,207375,120,300,497700,34839,462861,414750,2020-10-30
Government,Mexico,Velo,Medium,609,3045,120,20,12180,852.6,11327.4,6090,2018-11-20
Enterprise,Germany,Velo,Medium,2087,125220,120,125,260875,18261.25,242613.75,250440,2020-01-24
Government,France,Velo,Medium,1976,9880,120,20,39520,2766.4,36753.6,19760,2020-11-12
Government,United States of America,Velo,Medium,1421,7105,120,20,28420,1989.4,26430.6,14210,2019-10-06
Small Business,United States of America,Velo,Medium,1372,171500,120,300,411600,28812,382788,343000,2020-10-24
Government,Germany,Velo,Medium,588,2940,120,20,11760,823.2,10936.8,5880,2019-08-02
Channel Partners,Canada,VTT,Medium,3244,4866.75,250,12,38934,2725.38,36208.62,9733.5,2019-01-11
Small Business,France,VTT,Medium,959,119875,250,300,287700,20139,267561,239750,2020-12-24
Small Business,Mexico,VTT,Medium,2747,343375,250,300,824100,57687,766413,686750,2019-07-08
Enterprise,Canada,Amarilla,Medium,1645,98700,260,125,205625,14393.75,191231.25,197400,2019-05-19
Government,France,Amarilla,Medium,2876,373880,260,350,1006600,70462,936138,747760,2020-10-06
Enterprise,Germany,Amarilla,Medium,994,59640,260,125,124250,8697.5,115552.5,119280,2020-05-06
Government,Canada,Amarilla,Medium,1118,5590,260,20,22360,1565.2,20794.8,11180,2019-11-28
Small Business,United States of America,Amarilla,Medium,1372,171500,260,300,411600,28812,382788,343000,2021-05-21
Government,Canada,Montana,Medium,488,1220,5,7,3416,273.28,3142.72,2440,2021-06-18
Government,United States of America,Montana,Medium,1282,6410,5,20,25640,2051.2,23588.8,12820,2021-07-11
Government,Canada,Paseo,Medium,257,642.5,10,7,1799,143.92,1655.08,1285,2021-02-24
Government,United States of America,Amarilla,Medium,1282,6410,260,20,25640,2051.2,23588.8,12820,2019-10-20
Enterprise,Mexico,Carretera,Medium,1540,92400,3,125,192500,15400,177100,184800,2021-07-15
Midmarket,France,Carretera,Medium,490,2450,3,15,7350,588,6762,4900,2021-07-11
Government,Mexico,Carretera,Medium,1362,177060,3,350,476700,38136,438564,354120,2020-12-15
Midmarket,France,Montana,Medium,2501,12505,5,15,37515,3001.2,34513.8,25010,2019-10-17
Government,Canada,Montana,Medium,708,3540,5,20,14160,1132.8,13027.2,7080,2019-11-21
Government,Germany,Montana,Medium,645,3225,5,20,12900,1032,11868,6450,2020-04-06
Small Business,France,Montana,Medium,1562,195250,5,300,468600,37488,431112,390500,2019-09-09
Small Business,Canada,Montana,Medium,1283,160375,5,300,384900,30792,354108,320750,2018-12-25
Midmarket,Germany,Montana,Medium,711,3555,5,15,10665,853.2,9811.8,7110,2019-03-12
Enterprise,Mexico,Paseo,Medium,1114,66840,10,125,139250,11140,128110,133680,2019-05-06
Government,Germany,Paseo,Medium,1259,3147.5,10,7,8813,705.04,8107.96,6295,2019-10-02
Government,Germany,Paseo,Medium,1095,2737.5,10,7,7665,613.2,7051.8,5475,2021-07-31
Government,Germany,Paseo,Medium,1366,6830,10,20,27320,2185.6,25134.4,13660,2020-10-23
Small Business,Mexico,Paseo,Medium,2460,307500,10,300,738000,59040,678960,615000,2021-08-01
Government,United States of America,Paseo,Medium,678,1695,10,7,4746,379.68,4366.32,3390,2020-12-06
Government,Germany,Paseo,Medium,1598,3995,10,7,11186,894.88,10291.12,7990,2021-07-13
Government,Germany,Paseo,Medium,2409,6022.5,10,7,16863,1349.04,15513.96,12045,2019-04-14
Government,Germany,Paseo,Medium,1934,9670,10,20,38680,3094.4,35585.6,19340,2020-06-08
Government,Mexico,Paseo,Medium,2993,14965,10,20,59860,4788.8,55071.2,29930,2021-02-06
Government,Germany,Paseo,Medium,2146,278980,10,350,751100,60088,691012,557960,2019-06-24
Government,Mexico,Paseo,Medium,1946,4865,10,7,13622,1089.76,12532.24,9730,2021-02-28
Government,Mexico,Paseo,Medium,1362,177060,10,350,476700,38136,438564,354120,2019-06-26
Channel Partners,Canada,Velo,Medium,598,897,120,12,7176,574.08,6601.92,1794,2019-03-08
Government,United States of America,Velo,Medium,2907,7267.5,120,7,20349,1627.92,18721.08,14535,2019-12-02
Government,Germany,Velo,Medium,2338,5845,120,7,16366,1309.28,15056.72,11690,2019-03-29
Small Business,France,Velo,Medium,386,48250,120,300,115800,9264,106536,96500,2020-11-14
Small Business,Mexico,Velo,Medium,635,79375,120,300,190500,15240,175260,158750,2018-12-07
Government,France,VTT,Medium,574,74685,250,350,201075,16086,184989,149370,2021-05-26
Government,Germany,VTT,Medium,2338,5845,250,7,16366,1309.28,15056.72,11690,2020-04-27
Government,France,VTT,Medium,381,49530,250,350,133350,10668,122682,99060,2018-11-20
Government,Germany,VTT,Medium,422,54860,250,350,147700,11816,135884,109720,2021-03-29
Small Business,Canada,VTT,Medium,2134,266750,250,300,640200,51216,588984,533500,2020-12-10
Small Business,United States of America,VTT,Medium,808,101000,250,300,242400,19392,223008,202000,2018-12-24
Government,Canada,Amarilla,Medium,708,3540,260,20,14160,1132.8,13027.2,7080,2019-02-23
Government,United States of America,Amarilla,Medium,2907,7267.5,260,7,20349,1627.92,18721.08,14535,2019-05-02
Government,Germany,Amarilla,Medium,1366,6830,260,20,27320,2185.6,25134.4,13660,2020-10-16
Small Business,Mexico,Amarilla,Medium,2460,307500,260,300,738000,59040,678960,615000,2020-02-23
Government,Germany,Amarilla,Medium,1520,7600,260,20,30400,2432,27968,15200,2019-04-26
Midmarket,Germany,Amarilla,Medium,711,3555,260,15,10665,853.2,9811.8,7110,2020-07-04
Channel Partners,Mexico,Amarilla,Medium,1375,2062.5,260,12,16500,1320,15180,4125,2018-12-05
Small Business,Mexico,Amarilla,Medium,635,79375,260,300,190500,15240,175260,158750,2019-10-09
Government,United States of America,VTT,Medium,436,2182.5,250,20,8730,698.4,8031.6,4365,2019-06-03
Small Business,Canada,Carretera,Medium,1094,136750,3,300,328200,29538,298662,273500,2019-04-17
Channel Partners,Mexico,Carretera,Medium,367,550.5,3,12,4404,396.36,4007.64,1101,2019-09-10
Small Business,Canada,Montana,Medium,3802,475312.5,5,300,1140750,102667.5,1038082.5,950625,2020-04-14
Government,France,Montana,Medium,1666,216580,5,350,583100,52479,530621,433160,2021-03-05
Small Business,France,Montana,Medium,322,40250,5,300,96600,8694,87906,80500,2020-05-03
Channel Partners,Canada,Montana,Medium,2321,3481.5,5,12,27852,2506.68,25345.32,6963,2019-03-09
Enterprise,France,Montana,Medium,1857,111420,5,125,232125,20891.25,211233.75,222840,2021-07-17
Government,Canada,Montana,Medium,1611,4027.5,5,7,11277,1014.93,10262.07,8055,2019-11-14
Enterprise,United States of America,Montana,Medium,2797,167820,5,125,349625,31466.25,318158.75,335640,2019-10-23
Small Business,Germany,Montana,Medium,334,41750,5,300,100200,9018,91182,83500,2020-12-05
Small Business,Mexico,Paseo,Medium,2565,320625,10,300,769500,69255,700245,641250,2019-11-06
Government,Mexico,Paseo,Medium,2417,314210,10,350,845950,76135.5,769814.5,628420,2019-02-09
Midmarket,United States of America,Paseo,Medium,3675,18375,10,15,55125,4961.25,50163.75,36750,2019-03-07
Small Business,Canada,Paseo,Medium,1094,136750,10,300,328200,29538,298662,273500,2019-09-13
Midmarket,France,Paseo,Medium,1227,6135,10,15,18405,1656.45,16748.55,12270,2019-09-14
Channel Partners,Mexico,Paseo,Medium,367,550.5,10,12,4404,396.36,4007.64,1101,2020-02-10
Small Business,France,Paseo,Medium,1324,165500,10,300,397200,35748,361452,331000,2019-10-29
Channel Partners,Germany,Paseo,Medium,1775,2662.5,10,12,21300,1917,19383,5325,2020-05-24
Enterprise,United States of America,Paseo,Medium,2797,167820,10,125,349625,31466.25,318158.75,335640,2019-03-25
Midmarket,Mexico,Velo,Medium,245,1225,120,15,3675,330.75,3344.25,2450,2021-05-09
Small Business,Canada,Velo,Medium,3793,474187.5,120,300,1138050,102424.5,1035625.5,948375,2020-06-06
Government,Germany,Velo,Medium,1307,169910,120,350,457450,41170.5,416279.5,339820,2020-09-20
Enterprise,Canada,Velo,Medium,567,34020,120,125,70875,6378.75,64496.25,68040,2018-12-16
Enterprise,Mexico,Velo,Medium,2110,126600,120,125,263750,23737.5,240012.5,253200,2021-06-29
Government,Canada,Velo,Medium,1269,164970,120,350,444150,39973.5,404176.5,329940,2019-09-27
Channel Partners,United States of America,VTT,Medium,1956,2934,250,12,23472,2112.48,21359.52,5868,2019-05-30
Small Business,Germany,VTT,Medium,2659,332375,250,300,797700,71793,725907,664750,2020-05-21
Government,United States of America,VTT,Medium,1351,175695,250,350,473025,42572.25,430452.75,351390,2019-10-12
Channel Partners,Germany,VTT,Medium,880,1320,250,12,10560,950.4,9609.6,2640,2019-11-05
Small Business,United States of America,VTT,Medium,1867,233375,250,300,560100,50409,509691,466750,2019-10-06
Channel Partners,France,VTT,Medium,2234,3351,250,12,26808,2412.72,24395.28,6702,2018-12-06
Midmarket,France,VTT,Medium,1227,6135,250,15,18405,1656.45,16748.55,12270,2020-08-24
Enterprise,Mexico,VTT,Medium,877,52620,250,125,109625,9866.25,99758.75,105240,2019-02-18
Government,United States of America,Amarilla,Medium,2071,269230,260,350,724850,65236.5,659613.5,538460,2020-12-16
Government,Canada,Amarilla,Medium,1269,164970,260,350,444150,39973.5,404176.5,329940,2019-10-24
Midmarket,Germany,Amarilla,Medium,970,4850,260,15,14550,1309.5,13240.5,9700,2020-02-04
Government,Mexico,Amarilla,Medium,1694,8470,260,20,33880,3049.2,30830.8,16940,2020-09-16
Government,Germany,Carretera,Medium,663,3315,3,20,13260,1193.4,12066.6,6630,2020-04-27
Government,Canada,Carretera,Medium,819,2047.5,3,7,5733,515.97,5217.03,4095,2021-02-22
Channel Partners,Germany,Carretera,Medium,1580,2370,3,12,18960,1706.4,17253.6,4740,2019-04-23
Government,Mexico,Carretera,Medium,521,1302.5,3,7,3647,328.23,3318.77,2605,2020-12-27
Government,United States of America,Paseo,Medium,973,4865,10,20,19460,1751.4,17708.6,9730,2021-04-22
Government,Mexico,Paseo,Medium,1038,5190,10,20,20760,1868.4,18891.6,10380,2020-04-18
Government,Germany,Paseo,Medium,360,900,10,7,2520,226.8,2293.2,1800,2021-06-09
Channel Partners,France,Velo,Medium,1967,2950.5,120,12,23604,2124.36,21479.64,5901,2020-02-25
Midmarket,Mexico,Velo,Medium,2628,13140,120,15,39420,3547.8,35872.2,26280,2019-06-19
Government,Germany,VTT,Medium,360,900,250,7,2520,226.8,2293.2,1800,2021-01-28
Government,France,VTT,Medium,2682,13410,250,20,53640,4827.6,48812.4,26820,2020-03-11
Government,Mexico,VTT,Medium,521,1302.5,250,7,3647,328.23,3318.77,2605,2018-12-14
Government,Mexico,Amarilla,Medium,1038,5190,260,20,20760,1868.4,18891.6,10380,2019-05-02
Midmarket,Canada,Amarilla,Medium,1630,8152.5,260,15,24457.5,2201.18,22256.33,16305,2021-04-17
Channel Partners,France,Amarilla,Medium,306,459,260,12,3672,330.48,3341.52,918,2020-11-13
Channel Partners,United States of America,Carretera,High,386,579,3,12,4632,463.2,4168.8,1158,2020-09-14
Government,United States of America,Montana,High,2328,5820,5,7,16296,1629.6,14666.4,11640,2021-01-29
Channel Partners,United States of America,Paseo,High,386,579,10,12,4632,463.2,4168.8,1158,2021-03-02
Enterprise,United States of America,Carretera,High,3445,206730,3,125,430687.5,43068.75,387618.75,413460,2021-05-18
Enterprise,France,Carretera,High,1482,88920,3,125,185250,18525,166725,177840,2019-11-07
Government,United States of America,Montana,High,2313,300690,5,350,809550,80955,728595,601380,2019-11-04
Enterprise,United States of America,Montana,High,1804,108240,5,125,225500,22550,202950,216480,2021-06-05
Midmarket,France,Montana,High,2072,10360,5,15,31080,3108,27972,20720,2021-08-23
Government,France,Paseo,High,1954,9770,10,20,39080,3908,35172,19540,2018-11-19
Small Business,Mexico,Paseo,High,591,73875,10,300,177300,17730,159570,147750,2019-11-11
Midmarket,France,Paseo,High,2167,10835,10,15,32505,3250.5,29254.5,21670,2019-10-25
Government,Germany,Paseo,High,241,1205,10,20,4820,482,4338,2410,2019-08-06
Midmarket,Germany,Velo,High,681,3405,120,15,10215,1021.5,9193.5,6810,2020-06-17
Midmarket,Germany,Velo,High,510,2550,120,15,7650,765,6885,5100,2021-05-13
Midmarket,United States of America,Velo,High,790,3950,120,15,11850,1185,10665,7900,2021-04-19
Government,France,Velo,High,639,83070,120,350,223650,22365,201285,166140,2020-07-06
Enterprise,United States of America,Velo,High,1596,95760,120,125,199500,19950,179550,191520,2020-04-20
Small Business,United States of America,Velo,High,2294,286750,120,300,688200,68820,619380,573500,2019-05-16
Government,Germany,Velo,High,241,1205,120,20,4820,482,4338,2410,2020-05-19
Government,Germany,Velo,High,2665,6662.5,120,7,18655,1865.5,16789.5,13325,2019-01-20
Enterprise,Canada,Velo,High,1916,114960,120,125,239500,23950,215550,229920,2020-12-25
Small Business,France,Velo,High,853,106625,120,300,255900,25590,230310,213250,2021-08-09
Enterprise,Mexico,VTT,High,341,20460,250,125,42625,4262.5,38362.5,40920,2021-06-17
Midmarket,Mexico,VTT,High,641,3205,250,15,9615,961.5,8653.5,6410,2019-06-26
Government,United States of America,VTT,High,2807,364910,250,350,982450,98245,884205,729820,2021-05-23
Small Business,Mexico,VTT,High,432,54000,250,300,129600,12960,116640,108000,2019-04-22
Small Business,United States of America,VTT,High,2294,286750,250,300,688200,68820,619380,573500,2018-12-09
Midmarket,France,VTT,High,2167,10835,250,15,32505,3250.5,29254.5,21670,2020-03-19
Enterprise,Canada,VTT,High,2529,151740,250,125,316125,31612.5,284512.5,303480,2021-02-17
Government,Germany,VTT,High,1870,243100,250,350,654500,65450,589050,486200,2021-05-02
Enterprise,United States of America,Amarilla,High,579,34740,260,125,72375,7237.5,65137.5,69480,2021-01-04
Government,Canada,Amarilla,High,2240,291200,260,350,784000,78400,705600,582400,2019-01-01
Small Business,United States of America,Amarilla,High,2993,374125,260,300,897900,89790,808110,748250,2019-01-22
Channel Partners,Canada,Amarilla,High,3520,5280.75,260,12,42246,4224.6,38021.4,10561.5,2021-03-29
Government,Mexico,Amarilla,High,2039,10195,260,20,40780,4078,36702,20390,2020-04-06
Channel Partners,Germany,Amarilla,High,2574,3861,260,12,30888,3088.8,27799.2,7722,2020-02-21
Government,Canada,Amarilla,High,707,91910,260,350,247450,24745,222705,183820,2020-03-09
Midmarket,France,Amarilla,High,2072,10360,260,15,31080,3108,27972,20720,2018-11-14
Small Business,France,Amarilla,High,853,106625,260,300,255900,25590,230310,213250,2020-05-16
Channel Partners,France,Carretera,High,1198,1797,3,12,14376,1581.36,12794.64,3594,2021-06-29
Government,France,Paseo,High,2532,6330,10,7,17724,1949.64,15774.36,12660,2019-06-16
Channel Partners,France,Paseo,High,1198,1797,10,12,14376,1581.36,12794.64,3594,2021-03-10
Midmarket,Canada,Velo,High,384,1920,120,15,5760,633.6,5126.4,3840,2020-08-26
Channel Partners,Germany,Velo,High,472,708,120,12,5664,623.04,5040.96,1416,2020-07-11
Government,United States of America,VTT,High,1579,3947.5,250,7,11053,1215.83,9837.17,7895,2020-05-29
Channel Partners,Mexico,VTT,High,1005,1507.5,250,12,12060,1326.6,10733.4,3015,2021-01-17
Midmarket,United States of America,Amarilla,High,3199,15997.5,260,15,47992.5,5279.18,42713.33,31995,2021-01-28
Channel Partners,Germany,Amarilla,High,472,708,260,12,5664,623.04,5040.96,1416,2020-09-04
Channel Partners,Canada,Carretera,High,1937,2905.5,3,12,23244,2556.84,20687.16,5811,2018-12-17
Government,Germany,Carretera,High,792,102960,3,350,277200,30492,246708,205920,2019-09-10
Small Business,Germany,Carretera,High,2811,351375,3,300,843300,92763,750537,702750,2019-10-21
Enterprise,France,Carretera,High,2441,146460,3,125,305125,33563.75,271561.25,292920,2021-03-22
Midmarket,Canada,Carretera,High,1560,7800,3,15,23400,2574,20826,15600,2020-07-17
Government,Mexico,Carretera,High,2706,6765,3,7,18942,2083.62,16858.38,13530,2020-12-02
Government,Germany,Montana,High,766,99580,5,350,268100,29491,238609,199160,2020-03-03
Government,Germany,Montana,High,2992,14960,5,20,59840,6582.4,53257.6,29920,2021-07-15
Midmarket,Mexico,Montana,High,2157,10785,5,15,32355,3559.05,28795.95,21570,2019-09-07
Small Business,Canada,Paseo,High,873,109125,10,300,261900,28809,233091,218250,2021-05-01
Government,Mexico,Paseo,High,1122,5610,10,20,22440,2468.4,19971.6,11220,2021-07-16
Government,Canada,Paseo,High,2104,273585,10,350,736575,81023.25,655551.75,547170,2019-12-09
Channel Partners,Canada,Paseo,High,4026,6039,10,12,48312,5314.32,42997.68,12078,2019-11-13
Channel Partners,France,Paseo,High,2425,3638.25,10,12,29106,3201.66,25904.34,7276.5,2021-08-06
Government,Canada,Paseo,High,2394,11970,10,20,47880,5266.8,42613.2,23940,2020-07-11
